epochs,fed_avg,krum,median,trimmed_mean,sided_discard,ckks_sided_discard
0,0.1103,0.8984,0.9152,0.9062,0.9175,0.9222
1,0.0384,0.9117,0.9333,0.931,0.9351,0.9397
2,0.1016,0.9258,0.9393,0.9393,0.9427,0.9475
3,0.1141,0.9276,0.9466,0.944,0.948,0.9532
4,0.1885,0.9423,0.9505,0.9474,0.9498,0.9524
5,0.0955,0.9429,0.9508,0.9478,0.9532,0.9553
6,0.0661,0.9412,0.9531,0.9518,0.9548,0.9561
7,0.0624,0.9381,0.9537,0.9528,0.9547,0.9557
8,0.0775,0.9434,0.9549,0.9541,0.9556,0.9566
9,0.137,0.9446,0.9553,0.9534,0.9546,0.9572
10,0.0666,0.9476,0.9583,0.9549,0.9551,0.9583
11,0.1326,0.9424,0.9577,0.9553,0.9573,0.9571
12,0.0647,0.9464,0.9589,0.9553,0.9571,0.9577
13,0.069,0.9496,0.9594,0.9567,0.9581,0.9591
14,0.1168,0.9457,0.9596,0.9563,0.9574,0.9585
15,0.0805,0.9477,0.9585,0.9563,0.9581,0.9591
16,0.0653,0.9411,0.9595,0.956,0.9578,0.9598
17,0.1895,0.9441,0.9601,0.9584,0.9591,0.9599
18,0.0666,0.9478,0.9604,0.9581,0.9586,0.9597
19,0.052,0.9505,0.9592,0.9578,0.9584,0.9606
